account_id,label_kor
dart_AdjustmentsForGainOnForeignExchangeTranslations,외화환산이익 조정
dart_AdjustmentsForGainsLossesFromChangeInReinsuranceContractsHeldThatAreAssets,재보험자산변동손익 조정
dart_AdjustmentsForGainsLossesOnTransactionOfDerivativeFinancialInstruments,파생상품거래손익 조정
dart_AdjustmentsForGainsOnChangeInFairValueOfDerivatives,파생상품평가이익 조정
dart_AdjustmentsForGainsOnChangeInFairValueOfFinancialAssetsAtFairValueThroughProfitOrLossDesignatedAsUponInitialRecognition,당기손익인식지정금융자산평가이익 조정
dart_AdjustmentsForGainsOnDisposalsOfIntangibleAssets,무형자산처분이익 조정
dart_AdjustmentsForGainsOnDisposalsOfInvestmentProperty,투자부동산처분이익 조정
dart_AdjustmentsForGainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정비유동자산처분이익
dart_AdjustmentsForGainsOnDisposalsOfPropertyPlantAndEquipment,유형자산처분이익의 조정
dart_AdjustmentsForGainsOnEvaluationOfFairValueFinancialAssets,당기손익인식금융자산평가이익 조정
dart_AdjustmentsForGainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,파생상품거래이익 조정
dart_AdjustmentsForImpairmentLossInInvestmentsInAssociates,관계기업투자자산손상차손
dart_AdjustmentsForImpairmentLossesOfIntangibleAssets,무형자산손상차손 조정
dart_AdjustmentsForImpairmentLossesOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정비유동자산손상차손
dart_AdjustmentsForImpairmentLossesOnInvestmentsInAssociates,종속기업/관계기업/공동기업투자손상차손
dart_AdjustmentsForIncreaseDecreaseInDerivativeLiabilities,파생상품부채의 증가(감소)
dart_AdjustmentsForIncreaseDecreaseInFinancialLiabilitiesAtFairValueThroughProfitOrLossClassifiedAsOperatingActivities,당기손익-공정가치측정금융부채의 증가(감소) - 영업활동
dart_AdjustmentsForIncreaseDecreaseInInsuranceContractsIssuedThatAreLiabilities,보험계약부채의 증가(감소)
dart_AdjustmentsForIncreaseDecreaseInInsuranceLiabilitiesNetOfReinsurance,보험계약부채 전입액(환입액) 조정
dart_AdjustmentsForIncreaseDecreaseInInsurancePayables,보험미지급금의 증가(감소)
dart_AdjustmentsForIncreaseDecreaseInLeaseLiabilities,리스부채의 증가(감소)
dart_AdjustmentsForIncreaseDecreaseInOtherLongtermEmployeeBenefitLiabilities,기타장기종업원급여부채의 증가(감소)
dart_AdjustmentsForIncreasedecreaseInAccruedExpenses,미지급비용의 증가(감소)
dart_AdjustmentsForIncreasedecreaseInOtherFinancialLiabilities,기타금융부채의 증가(감소)
dart_AdjustmentsForIncreasedecreaseInOtherPayables,미지급금의 증가(감소)
dart_AdjustmentsForIncreasedecreaseInPostemploymentBenefitObligations,퇴직급여채무의 증가(감소)
dart_AdjustmentsForIncreasedecreaseInPresentValueOfDefinedBenefitObligation,확정급여채무의현재가치의 증가(감소)
dart_AdjustmentsForIncreasedecreaseInProvisionForDecommissioningRestorationAndRehabilitationCosts,"사후처리, 복구, 정화 비용을 위한 충당부채의 증가(감소)"
dart_AdjustmentsForIncreasedecreaseInProvisions,충당부채의 증가(감소)
dart_AdjustmentsForInterestExpenses,이자비용 조정
dart_AdjustmentsForLossFromLeaseContractChange,리스변경손실 조정
dart_AdjustmentsForLossOnDisposalOfInvestmentsInAssociates,관계기업투자자산처분손실
dart_AdjustmentsForLossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실 조정
dart_AdjustmentsForLossesOnChangeInFairValueOfDerivatives,파생상품평가손실 조정
dart_AdjustmentsForLossesOnChangeInFairValueOfFinancialAssetsAtFairValueThroughProfitOrLossDesignatedAsUponInitialRecognition,당기손익인식지정금융자산평가손실
dart_AdjustmentsForLossesOnDisposalsOfIntangibleAssets,무형자산처분손실 조정
dart_AdjustmentsForLossesOnDisposalsOfInvestmentProperty,투자부동산처분손실 조정
dart_AdjustmentsForLossesOnDisposalsOfPropertyPlantAndEquipment,유형자산처분손실의 조정
dart_AdjustmentsForLossesOnDispositionOfPropertyPlantAndEquipment,유형자산처분손실 조정
dart_AdjustmentsForLossesOnEvaluationOfFairValueFinancialAssets,당기손익인식금융자산평가손실 조정
dart_AdjustmentsForLossesOnForeignExchangeTranslations,외화환산손실 조정
dart_AdjustmentsForLossesOnRevaluationOfPropertyPlantAndEquipment,유형자산재평가손실 조정
dart_AdjustmentsForLossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,파생상품거래손실 조정
dart_AdjustmentsForMiscellaneousIncome,잡이익 조정
dart_AdjustmentsForMiscellaneousLosses,잡손실 조정
dart_AdjustmentsForNonOperatingExpense,영업외비용 조정
dart_AdjustmentsForNonOperatingIncome,영업외수익 조정
dart_AdjustmentsForOtherExpenseByFunction,기타비용 조정
dart_AdjustmentsForOtherIncomeExpense,기타손익 조정
dart_AdjustmentsForOtherOperatingExpense,기타영업비용 조정
dart_AdjustmentsForOtherOperatingIncome,기타영업수익 조정
dart_AdjustmentsForOtherOperatingIncomeExpense,기타영업손익 조정
dart_AdjustmentsForOtherRevenue,기타수익 조정
dart_AdjustmentsForOtherReversalsOfProvisions,기타충당부채의 환입 조정
dart_AdjustmentsForProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익 조정
dart_AdjustmentsForProvisionForSeveranceIndemnities,퇴직급여 조정
dart_AdjustmentsForReversalAllowanceAccountForCreditLossesOfFinancialAssets,신용손실충당금 환입액 조정
dart_AdjustmentsForReversalAllowanceDoubtfulAccounts,대손충당금환입
dart_AdjustmentsForReversalOfProvisionForDecommissioningRestorationAndRehabilitationCosts,복구충당부채환입액 조정
dart_AdjustmentsForReversalsOfImpairmentLossesOnAssociates,종속기업/관계기업/공동기업투자손상차손환입
dart_AdjustmentsForReversalsOfImpairmentLossesOnIntangibleAssets,무형자산손상차손환입 조정
dart_AdjustmentsForReversalsOfImpairmentLossesOnNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정비유동자산손상차손환입
dart_AdjustmentsForReversalsOfProvisions,충당부채환입액
dart_AdvertisingExpenses,광고선전비
dart_AdvertisingExpensesSellingGeneralAdministrativeExpenses,"광고선전비, 판관비"
dart_AllowanceForCreditRiskAdjustment,신용위험조정충당금
dart_AllowanceForOwnCreditRiskAdjustment,자기신용위험조정충당금
dart_AmountContractuallyRequiredToPayAtMaturityToHolderOfObligation,계약조건에 따라 채권자에게 만기에 상환하여야 할 금액
dart_AmountReclassifiedBetweenLossAndOtherComprehensiveIncomeApplyingOverlayApproach,당기손익조정접근법조정액 - 손실
dart_AmountReclassifiedBetweenProfitAndOtherComprehensiveIncomeApplyingOverlayApproach,당기손익조정접근법조정액 - 이익
dart_AnnualDividendsMember,연차배당 [구성요소]
dart_AnnualDividendsPaid,연차배당
dart_AppropriatedRetainedEarningsOtherLegalReserves,기타법정적립금
dart_AppropriationOfRetainedEarnings,이익잉여금 처분액
dart_AssetsPledgedAsCollateralExplanatory,담보제공자산 [문장영역]
dart_AutomobileInsuranceMember,자동차보험 [구성요소]
dart_BalancesheetAccountsMember,난내계정 [구성요소]
dart_BalancesheetAndOffbalancesheetAccountsAxis,난내 및 난외계정 [축]
dart_BalancesheetAndOffbalancesheetAccountsMember,난내 및 난외계정 [구성요소]
dart_BankCustomersMember,은행 [구성요소]
dart_BeneficiaryCertificateMember,수익증권 [구성요소]
dart_BinomialModelMember,이항모형 [구성요소]
dart_BondsBorrowed,"채권, 차입유가증권"
dart_BondsIssuedMember,사채 [구성요소]
dart_BondsIssuedNominalValue,사채
dart_BondsPurchasedUnderResaleAgreementsMember,환매조건부채권매수 [구성요소]
dart_Bonus,상여
dart_BonusSellingGeneralAdministrativeExpenses,"상여, 판관비"
dart_BorrowingTransactionBetweenEntityRelatedPartyBorrowing,"차입거래, 차입"
dart_BorrowingTransactionBetweenEntityRelatedPartyRepayment,"차입거래, 상환"
dart_BorrowingsMember,차입부채 [구성요소]
dart_BorrowingsUndiscountedCashFlows,"차입부채, 미할인현금흐름"
dart_CNMember,중국 [구성요소]
dart_CNYMember,CNY [구성요소]
dart_CallLoanMember,콜론 [구성요소]
dart_CapitalAdjustments,자본조정
dart_CapitalAdjustmentsMember,자본조정 [구성요소]
dart_CapitalSurplus,자본잉여금
dart_CapitalSurplusMember,자본잉여금 [구성요소]
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산
dart_CashAndDuefromBanks,현금및예치금
dart_CashInflowFromIssuanceOfHybridBond,신종자본증권의 발행
dart_CashOutflowForRepaymentOfHybridBond,신종자본증권의 상환
dart_CashOutflowForSeverancePay,퇴직금의지급
dart_CatastropheReserve,비상위험준비금 적립액
dart_CatastropheReserveToBeAdded,비상위험준비금 적립예정액
dart_ChangInOtherComprehensiveIncomeDueToChangeInMarketRiskVariableAbstract,시장변수 변동이 기타포괄손익에 미치는 영향 [개요]
dart_ChangInProfitDueToChangeInMarketRiskVariableAbstract,시장변수 변동이 당기손익에 미치는 영향 [개요]
dart_ChangeInRetainedEarningsFromTaxConsolidation,연결납세로인한이익잉여금변동
dart_ChangeOfDeferredLoanOriginationFeeCostAbstract,이연대출부대수익(비용)의 변동내역 [개요]
dart_ChangeOfDeferredLoanOriginationFeeCostLineItems,이연대출부대수익(비용)의 변동내역 [항목]
dart_ChangeOfDeferredLoanOriginationFeeCostTable,이연대출부대수익(비용)의 변동내역 [표]
dart_ChangesInConsolidatedCompanies,연결대상범위의 변동
dart_ChangesInForeignExchangeRates,환율변동
dart_ChargeoffsMember,특수채 [구성요소]
dart_ClassesOfIndustriesAxis,산업의 분류 [축]
dart_ClassesOfInsuranceFinanceIncomeExpensesAxis,보험금융수익(비용)의 분류 [축]
dart_ClassesOfInsuranceFinanceIncomeExpensesMember,보험금융수익(비용)의 분류 [구성항목]
dart_ClassesOfLegalProceedingsContingentLiabilityMember,법적소송우발부채의 분류 [구성요소]
dart_ClassesofLegalProceedingsContingentLiabilityAxis,법적소송우발부채의 분류 [축]
dart_CommercialPaperSecuritiesMember,기업어음증권 [구성요소]
dart_Commissions,지급수수료
dart_CommissionsSellingGeneralAdministrativeExpenses,"지급수수료, 판관비"
dart_CommitmentsAmount,약정 금액
dart_CommitmentsInTheRealEstatePF,약정금액
dart_CommunicationExpensesSellingGeneralAdministrativeExpenses,"통신비, 판관비"
dart_ComprehensiveIncomeGainsLossesEquityMethodSecurities,지분법기타포괄손익변동
dart_ConcentrationOfCreditRiskByCreditGradesAbstract,신용위험의 집중도(등급별) [개요]
dart_ConcentrationOfCreditRiskByCreditGradesExplanatory,신용위험의 집중도(등급별) [문장영역]
dart_ConcentrationOfCreditRiskByCreditGradesLineItems,신용위험의 집중도(등급별) [항목]
dart_ConcentrationOfCreditRiskByCreditGradesTable,신용위험의 집중도(등급별) [표]
dart_ConcentrationOfCreditRiskByIndustriesAbstract,신용위험의 집중도(산업별) [개요]
dart_ConcentrationOfCreditRiskByIndustriesExplanatory,신용위험의 집중도(산업별) [문장영역]
dart_ConcentrationOfCreditRiskByIndustriesLineItems,신용위험의 집중도(산업별) [항목]
dart_ConcentrationOfCreditRiskByIndustriesTable,신용위험의 집중도(산업별) [표]
dart_ConcentrationOfCreditRiskByRegionsAbstract,신용위험의 집중도(지역별) [개요]
dart_ConcentrationOfCreditRiskByRegionsExplanatory,신용위험의 집중도(지역별) [문장영역]
dart_ConcentrationOfCreditRiskByRegionsLineItems,신용위험의 집중도(지역별) [항목]
dart_ConcentrationOfCreditRiskByRegionsTable,신용위험의 집중도(지역별) [표]
dart_ConfidenceLevelUsedToDetermineRiskAdjustmentForNonfinancialRiskMember,비금융위험에 대한 위험조정 산정에 사용한 신뢰수준 [구성요소]
dart_ConsignedSecurities,위탁자유가증권
dart_ConsolidatedAndSeparateFinancialStatementsDomain,연결 또는 별도 재무제표 [domain]
dart_ConsolidatedAndSeparateFinancialStatementsTable,연결 또는 별도 재무제표 [table]
dart_ConstructionIndustryMember,건설업 [구성요소]
dart_CorporateBondsMember,회사채 [구성요소]
dart_CorporateCustomersMember,기업 [구성요소]
dart_CorrelationCoefficientMember,상관계수 [구성요소]
dart_CreditCardReceivablesMember,신용카드 [구성요소]
dart_CreditLoanMember,신용대출금 [구성요소]
dart_CreditRelatedMember,신용 관련 [구성요소]
dart_CreditRiskMitigationEffect,신용위험 경감효과
dart_CurrentAndDeferredTaxRelatingToItemsChargedOrCreditedDirectlyToEquityExplanatory,자본에 직접 가감되는 항목과 관련된 당기법인세와 이연법인세 [문장영역]
dart_CurrentAndDeferredTaxRelatingToItemsChargedOrCreditedDirectlyToEquityLineItems,자본에 직접 가감되는 항목과 관련된 당기법인세와 이연법인세 [항목]
dart_CurrentAndDeferredTaxRelatingToItemsChargedOrCreditedDirectlyToEquityTable,자본에 직접 가감되는 항목과 관련된 당기법인세와 이연법인세 [표]
dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,유동당기손익인식지정금융자산
dart_CurrentFinancialAssetHeldForTrading,유동단기매매금융자산
dart_DebtSecuritiesAtFairValueThroughProfitOrLossMember,당기손익-공정가치측정채무증권 [구성요소]
dart_DebtSecuritiesInForeignCurrencyMember,외화채무증권 [구성요소]
dart_DebtSecuritiesMeasuredAtFairValueThroughOtherComprehensiveIncomeCategoryMember,기타포괄손익-공정가치측정채무증권 [구성요소]
dart_DecreaseDueToTerminationOrCancellationOfLeaseContractsLeaseLiabilities,"계약 종료 또는 해지로 인한 감소, 리스부채"
dart_DecreaseInEquityInvestments,출자금의 감소
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소
dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소
dart_DecreaseInNoncontrollingInterests,비지배지분의 감소
dart_DecreaseInOtherComprehensiveIncomeDueToDecreaseInMarketRiskVariable,시장변수 하락 시 기타포괄손익 감소
dart_DecreaseInOtherComprehensiveIncomeDueToIncreaseInMarketRiskVariable,시장변수 상승 시 기타포괄손익 감소
dart_DecreaseInOtherLiabilities,기타부채의 감소 - 재무활동
dart_DecreaseInProfitDueToDecreaseInMarketRiskVariable,시장변수 하락 시 당기손익 감소
dart_DecreaseInProfitDueToIncreaseInMarketRiskVariable,시장변수 상승 시 당기손익 감소
dart_DecreaseInRepurchaseAgreements,환매조건부채권매도의 감소
dart_DecreaseOfFinancialAssetsRecovered,"회수에 따른 총 장부금액의 감소, 금융자산"
dart_DecreaseOfRightofuseAssetsDueToTerminationOrCancellationOfLeaseContracts,"계약 종료 또는 해지로 인한 감소, 사용권자산"
dart_DefendantInLawsuitsMember,피소(피고) [구성요소]
dart_DeferredLoanOriginationCostMember,이연대출부대비용 [구성요소]
dart_DeferredLoanOriginationFeeCost,이연대출부대수익(비용)
dart_DeferredLoanOriginationFeeCostAxis,이연대출부대수익(비용) [축]
dart_DeferredLoanOriginationFeeCostMember,이연대출부대수익(비용) [구성요소]
dart_DeferredLoanOriginationFeeMember,이연대출부대수익 [구성요소]
dart_DeferredMiscellaneousGainsLossMember,이연부대손익 [구성요소]
dart_DepositsAtAmortisedCostMember,상각후원가측정예치금 [구성요소]
dart_DepositsForDerivativesTradingOnExchangeMember,장내파생상품거래예치금 [구성요소]
dart_DepositsForMarginLoansFromKSFCMember,유통금융담보금 [구성요소]
dart_DepositsFromCustomersMember,예수부채 [구성요소]
dart_DepositsPaid,자산인 보증금
dart_DepositsReceived,예수금
dart_DepreciationDeferredLoanOriginationFeeCost,"상각에 따른 감소, 이연대출부대수익(비용)"
dart_DepreciationExpenseSellingGeneralAdministrativeExpenses,"감가상각비, 판관비"
dart_DerecognitionOfFinancialAssetsByTransfers,"양도에 따른 감소, 금융자산"
dart_DerivativeAssetsBeforeCreditRiskAdjustment,파생상품자산(신용위험조정전)
dart_DerivativeAssetsMember,파생상품자산 [구성요소]
dart_DerivativeContractTypeAxis,파생상품 계약 유형 [축]
dart_DerivativeContractTypeMember,파생상품 계약 유형 [구성요소]
dart_DerivativeFinancialAssetsHeldForHedgingMember,위험회피목적파생상품자산 [구성요소]
dart_DerivativeFinancialAssetsHeldForTradingMember,단기매매목적파생상품자산 [구성요소]
dart_DerivativeFinancialAssetsHeldForTradingUndiscountedCashFlows,"매매목적파생상품, 미할인현금흐름"
dart_DerivativeFinancialLiabilitiesHeldForHedgingMember,위험회피목적파생상품부채 [구성요소]
dart_DerivativeFinancialLiabilitiesHeldForTradingMember,단기매매목적파생상품부채 [구성요소]
dart_DerivativeLiabilitiesBeforeCreditRiskAdjustment,파생상품부채(신용위험조정전)
dart_DerivativeLiabilitiesMember,파생상품 금융부채 [구성요소]
dart_DerivativesExplanatory,파생상품 [문장영역]
dart_DerivativesLinkedSecuritiesSoldMember,매도파생결합증권 [구성요소]
dart_DerivativesTypeAxis,파생상품 유형 [축]
dart_DerivativesTypeMember,파생상품 유형 [구성요소]
dart_DescriptionOfCommitments,약정에 대한 설명
dart_DescriptionOfSensitivityAnalysisForEachTypeOfMarketRisk,시장위험의 각 유형별 민감도분석 기술
dart_DesignatedPurposeOfDerivativesAxis,파생상품의 목적 [축]
dart_DesignatedPurposeOfDerivativesMember,파생상품 목적의 지정 [구성요소]
dart_DetailOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncomeAbstract,기타포괄손익-공정가치금융자산의 구성내역 [개요]
dart_DetailOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncomeLineItems,기타포괄손익-공정가치금융자산의 구성내역 [항목]
dart_DetailOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncomeTable,기타포괄손익-공정가치금융자산의 구성내역 [표]
dart_DetailsOfFinancialAssetsAtAmortisedCostAbstract,상각후원가측정금융자산의 내역 [개요]
dart_DetailsOfFinancialAssetsAtAmortisedCostExplanatory,상각후원가측정금융자산의 내역 [문장영역]
dart_DetailsOfFinancialAssetsAtAmortisedCostLineItems,상각후원가측정금융자산의 내역 [항목]
dart_DetailsOfFinancialAssetsAtAmortisedCostTable,상각후원가측정금융자산의 내역 [표]
dart_DetailsOfFinancialAssetsDenominatedInForeignCurrencyAbstract,외화금융자산의 통화별 내역 [개요]
dart_DetailsOfFinancialAssetsDenominatedInForeignCurrencyExplanatory,외화금융자산의 통화별 내역 [문장영역]
dart_DetailsOfFinancialAssetsDenominatedInForeignCurrencyLineItems,외화금융자산의 통화별 내역 [항목]
dart_DetailsOfFinancialAssetsDenominatedInForeignCurrencyTable,외화금융자산의 통화별 내역 [표]
dart_DetailsOfFinancialLiabilitiesAtFairValueThroughProfitOrLossAbstract,당기손익-공정가치측정금융부채의 공시 [개요]
dart_DetailsOfFinancialLiabilitiesAtFairValueThroughProfitOrLossExplanatory,당기손익-공정가치측정금융부채의 공시 [문장영역]
dart_DetailsOfFinancialLiabilitiesAtFairValueThroughProfitOrLossLineItems,당기손익-공정가치측정금융부채의 공시 [항목]
dart_DetailsOfFinancialLiabilitiesAtFairValueThroughProfitOrLossTable,당기손익-공정가치측정금융부채의 공시 [표]
dart_DetailsOfFinancialLiabilitiesDenominatedInForeignCurrencyAbstract,외화금융부채의 통화별 내역 [개요]
dart_DetailsOfFinancialLiabilitiesDenominatedInForeignCurrencyExplanatory,외화금융부채의 통화별 내역 [문장영역]
dart_DetailsOfFinancialLiabilitiesDenominatedInForeignCurrencyLineItems,외화금융부채의 통화별 내역 [항목]
dart_DetailsOfFinancialLiabilitiesDenominatedInForeignCurrencyTable,외화금융부채의 통화별 내역 [표]
dart_DifferenceBetweenCarryingAmountOfFinancialLiabilityAndAmountContractuallyRequiredToPayAtMaturityToHolderOfObligationAbstract,계약조건에 따른 만기상환금액과 장부금액 차이 [개요]
dart_DifferenceBetweenCarryingAmountOfFinancialLiabilityAndAmountContractuallyRequiredToPayAtMaturityToHolderOfObligationExplanatory,계약조건에 따른 만기상환금액과 장부금액 차이 [문장영역]
dart_DifferenceBetweenCarryingAmountOfFinancialLiabilityAndAmountContractuallyRequiredToPayAtMaturityToHolderOfObligationLineItems,계약조건에 따른 만기상환금액과 장부금액 차이 [항목]
dart_DifferenceBetweenCarryingAmountOfFinancialLiabilityAndAmountContractuallyRequiredToPayAtMaturityToHolderOfObligationTable,계약조건에 따른 만기상환금액과 장부금액 차이 [표]
dart_DisclosureOfAdjustedProfitLossNetOfRegulatoryReserveAbstract,감독목적상 적립금 전입(환입) 후 조정이익에 대한 공시 [개요]
dart_DisclosureOfAdjustedProfitLossNetOfRegulatoryReserveExplanatory,감독목적상 적립금 전입(환입) 후 조정이익에 대한 공시 [문장영역]
dart_DisclosureOfAdjustedProfitLossNetOfRegulatoryReserveLineItems,감독목적상 적립금 전입(환입) 후 조정이익에 대한 공시 [항목]
dart_DisclosureOfAdjustedProfitLossNetOfRegulatoryReserveTable,감독목적상 적립금 전입(환입) 후 조정이익에 대한 공시 [표]
dart_DisclosureOfAnalysisOfExpensesFromReinsuranceContractsAbstract,재보험비용 분석 공시 [개요]
dart_DisclosureOfAnalysisOfExpensesFromReinsuranceContractsLineItems,재보험비용 분석 공시 [항목]
dart_DisclosureOfAnalysisOfExpensesFromReinsuranceContractsTable,재보험비용 분석 공시 [표]
dart_DisclosureOfAnalysisOfInsuranceFinanceIncomeExpensesAbstract,보험금융수익(비용) 분석 공시 [개요]
dart_DisclosureOfAnalysisOfInsuranceFinanceIncomeExpensesExplanatory,보험금융수익(비용) 분석 공시 [문장영역]
dart_DisclosureOfAnalysisOfInsuranceFinanceIncomeExpensesLineItems,보험금융수익(비용) 분석 공시 [항목]
dart_DisclosureOfAnalysisOfInsuranceFinanceIncomeExpensesTable,보험금융수익(비용) 분석 공시 [표]
